filename,note,string,fret,take,f0_ideal,h1_freq,h2_freq,h3_freq,h4_freq,h5_freq,h1_amp,h2_amp,h3_amp,h4_amp,h5_amp,h2_h1,h3_h1,h4_h1,h5_h1,log_h3_h2,harmonic_centroid,spectral_centroid,rolloff_85,mean_relative_harmonic_deviation,pitch_error_hz,pitch_error_cents,tuning_ok
D3_S4_F0_01.wav,D3,4,0,1,146.8323839587038,146,294,440,588,734,0.9586942779982126,0.3297094621281965,1,0.093381237,0.12630633340905822,0.34391512465959584,1.0430853953650743,0.097404605,0.1317482917211004,1.1095413971411172,328.74439586345204,429.20863123068114,440,0.005936073,-0.832383959,-9.842185574,TRUE
D3_S4_F0_02.wav,D3,4,0,2,146.8323839587038,146,294,440,588,734,0.7737795833995251,0.4178666717957115,1,0.04892451,0.077617038,0.5400332094055197,1.2923576964987853,0.063227967,0.10030897640003106,0.8725914712286217,328.51658407914056,440.51717981546244,440,0.005936073,-0.832383959,-9.842185574,TRUE
D3_S4_F0_03.wav,D3,4,0,3,146.8323839587038,146.00608358681612,294.0122505104379,440.01833409725407,588.0245010208758,734.0305846,0.9733133831892589,0.49333689112026574,1,0.074131847,0.088988655,0.5068633593671006,1.0274183189830361,0.076164418,0.091428574,0.7065619621769675,317.93144980365565,438.3571464857839,440.01833409725407,0.005936073,-0.826300372,-9.770049319,TRUE
D3_S4_F0_04.wav,D3,4,0,4,146.8323839587038,146,294,440,588,734,0.8868691198407891,0.5020214546895585,1,0.087738511,0.118308843,0.5660603616232365,1.1275620918896354,0.09893062,0.13340056697210048,0.68911143,329.68269694749824,457.53176525198916,440,0.005936073,-0.832383959,-9.842185574,TRUE
D3_S4_F0_05.wav,D3,4,0,5,146.8323839587038,146,294,440,588,734,0.9344341565813143,0.4399299998212007,1,0.097684197,0.1306963892356325,0.4707982865595496,1.0701663599911226,0.10453834139784511,0.1398668791322798,0.821138383,330.08856006373884,442.07626514658244,440,0.005936073,-0.832383959,-9.842185574,TRUE
D3_S4_F0_06.wav,D3,4,0,6,146.8323839587038,146,294,440,588,734,0.8261473440901219,0.42272555412140467,1,0.06297096,0.089698942,0.5116830032141225,1.210437831887423,0.076222432,0.10857499299932183,0.8610307531279104,328.0244570287796,431.2419502,440,0.005936073,-0.832383959,-9.842185574,TRUE
D3_S4_F0_07.wav,D3,4,0,7,146.8323839587038,146,294,440,588,734,0.9777134889725101,0.3635351505571276,1,0.084846336,0.11624093197191816,0.3718217603187317,1.0227945213795824,0.086780368,0.11889058838093462,1.011877536,324.4402090587118,451.78927295538364,440,0.005936073,-0.832383959,-9.842185574,TRUE
D3_S4_F0_08.wav,D3,4,0,8,146.8323839587038,146,294,440,588,734,0.8272083245739016,0.31999733734659935,1,0.062270160718929005,0.10406246918704157,0.3868400834958126,1.2088853198075638,0.075277483,0.1257995913431415,1.139440479,331.89350795119736,457.15170910436126,440,0.005936073,-0.832383959,-9.842185574,TRUE
D3_S4_F0_09.wav,D3,4,0,9,146.8323839587038,146,294,440,588,734,0.9381516821200407,0.44754840116964145,1,0.085163189,0.11710796106201667,0.4770533483010646,1.0659257122901427,0.090777633,0.12482838680987642,0.8039693536844837,326.3492898118356,466.0989236135989,440,0.005936073,-0.832383959,-9.842185574,TRUE
D3_S4_F0_10.wav,D3,4,0,10,146.8323839587038,146,294,440,588,734,0.8665999828159674,0.4538004935551422,1,0.069157477,0.10856112920412016,0.5236562457346736,1.1539349409522912,0.079803229,0.12527248021787046,0.7900964154223998,328.3628124460541,445.05740093084785,440,0.005936073,-0.832383959,-9.842185574,TRUE
